,method,iter,train_test,n,p,mse,r2
48,"MLP W1, D1",0,train,7500.0,4,0.6995299698676805,0.8762322636048117
49,"MLP W1, D1",0,test,7500.0,4,0.7229945295305424,0.8777987803684721
50,"MLP W2, D1",0,train,7500.0,4,0.6781606963018307,0.8800131260861648
51,"MLP W2, D1",0,test,7500.0,4,0.7188272666054657,0.8785031350920138
52,"MLP W4, D1",0,train,7500.0,4,0.6570143192501957,0.8837545515194954
53,"MLP W4, D1",0,test,7500.0,4,0.6982171718208173,0.881986672818144
54,ConstantImputedLR,0,train,18750.0,4,0.9210553375048588,0.8374141281070769
55,ConstantImputedLR,0,test,18750.0,4,0.9518927179364446,0.8322420970430284
56,ExpandedLR,0,train,18750.0,4,0.6459328262311326,0.8859791073774711
57,ExpandedLR,0,test,18750.0,4,0.6582393649437008,0.8839944319081798
58,EMLR,0,train,18750.0,4,1.0315934966141582,0.8179017902003122
59,EMLR,0,test,18750.0,4,0.9962991827588028,0.8244160728745897
60,MICELR,0,train,18750.0,4,1.0129875806360373,0.8211861304006134
61,MICELR,0,test,18750.0,4,0.9764798120770137,0.8279089623576731
62,"MLP W0.3, D1",0,train,18750.0,4,0.9264204389893153,0.8364670734979507
63,"MLP W0.3, D1",0,test,18750.0,4,0.9558884090037111,0.8315379118531662
64,"MLP W0.5, D1",0,train,18750.0,4,0.7163926011819802,0.8735414573500618
65,"MLP W0.5, D1",0,test,18750.0,4,0.7334153410942232,0.8707457076831491
66,"MLP W1, D1",0,train,18750.0,4,0.6784523195417549,0.8802387246250659
67,"MLP W1, D1",0,test,18750.0,4,0.6915191349572988,0.8781293335381929
68,"MLP W2, D1",0,train,18750.0,4,0.6523719755213134,0.8848424604693398
69,"MLP W2, D1",0,test,18750.0,4,0.6670997326950755,0.8824329148533793
70,"MLP W4, D1",0,train,18750.0,4,0.6489688985372689,0.8854431759921101
71,"MLP W4, D1",0,test,18750.0,4,0.6648378436779088,0.8828315414539314
72,ConstantImputedLR,0,train,37500.0,4,0.9245881046425699,0.8358325619474272
73,ConstantImputedLR,0,test,37500.0,4,0.9526541457251838,0.8374166882898256
74,ExpandedLR,0,train,37500.0,4,0.6551330866538637,0.8836762879822939
75,ExpandedLR,0,test,37500.0,4,0.674330500232789,0.8849163818716513
76,EMLR,0,train,37500.0,4,1.038382912619437,0.8156274544023018
77,EMLR,0,test,37500.0,4,1.0702419647485657,0.8173487369568211
78,MICELR,0,train,37500.0,4,1.014519101826426,0.8198646500361073
79,MICELR,0,test,37500.0,4,1.0458785834401991,0.8215066774175291
80,"MLP W0.3, D1",0,train,37500.0,4,0.9300078286078999,0.8348702499796734
81,"MLP W0.3, D1",0,test,37500.0,4,0.9563541550453847,0.8367852316679907
82,"MLP W0.5, D1",0,train,37500.0,4,0.7218945788039991,0.8718222925957844
83,"MLP W0.5, D1",0,test,37500.0,4,0.7377838094440589,0.8740872166422439
84,"MLP W1, D1",0,train,37500.0,4,0.673367747402482,0.8804385894613771
85,"MLP W1, D1",0,test,37500.0,4,0.6923840378050834,0.8818353015658984
86,"MLP W2, D1",0,train,37500.0,4,0.6584086184684368,0.8830946931471905
87,"MLP W2, D1",0,test,37500.0,4,0.6768367698624557,0.8844886530696949
88,"MLP W4, D1",0,train,37500.0,4,0.6581307582827997,0.8831440292727407
89,"MLP W4, D1",0,test,37500.0,4,0.6781577948835138,0.8842632022870164
90,ConstantImputedLR,0,train,75000.0,4,0.9295647240000406,0.8357026884656338
91,ConstantImputedLR,0,test,75000.0,4,0.9309613360591055,0.8378061940083401
92,ExpandedLR,0,train,75000.0,4,0.6568918741383625,0.8838966603365862
93,ExpandedLR,0,test,75000.0,4,0.6617145049757804,0.8847148749525565
94,EMLR,0,train,75000.0,4,1.031410662818867,0.817701775235383
95,EMLR,0,test,75000.0,4,1.075726215274893,0.8125849889759962
96,MICELR,0,train,75000.0,4,1.0065825768249441,0.8220900525376802
97,MICELR,0,test,75000.0,4,1.0504573775560027,0.8169873726238088
98,"MLP W0.3, D1",0,train,75000.0,4,1.3167274095591046,0.7672730388441873
99,"MLP W0.3, D1",0,test,75000.0,4,1.3167071533280663,0.7706008441996516
100,"MLP W0.5, D1",0,train,75000.0,4,0.7232101821312454,0.8721751315097905
101,"MLP W0.5, D1",0,test,75000.0,4,0.7243837993855677,0.8737965145594564
102,"MLP W1, D1",0,train,75000.0,4,0.6814544937525583,0.8795553032877859
103,"MLP W1, D1",0,test,75000.0,4,0.6858763990182434,0.8805053450795937
104,"MLP W2, D1",0,train,75000.0,4,0.6625595699597802,0.8828949149368184
105,"MLP W2, D1",0,test,75000.0,4,0.6662382624299127,0.8839267375611856
106,"MLP W4, D1",0,train,75000.0,4,0.6590059317066606,0.8835230080604911
107,"MLP W4, D1",0,test,75000.0,4,0.6655891260456329,0.8840398313027793
108,ConstantImputedLR,0,train,750.0,6,1.9713832094363466,0.7316200609349894
109,ConstantImputedLR,0,test,750.0,6,2.3598134982640677,0.6981802744419774
110,ExpandedLR,0,train,750.0,6,2.889168003183987,0.6066747809702631
111,ExpandedLR,0,test,750.0,6,3.8989215966738997,0.5013286231534724
112,EMLR,0,train,750.0,6,2.10798398393554,0.7130235205156313
113,EMLR,0,test,750.0,6,2.647840351499521,0.6613416912824122
114,MICELR,0,train,750.0,6,1.8989703888208138,0.741478189121989
115,MICELR,0,test,750.0,6,2.405466142477687,0.6923413093891507
116,"MLP W0.3, D1",0,train,750.0,6,2.2252135340516763,0.6970641375979982
117,"MLP W0.3, D1",0,test,750.0,6,2.681711503487233,0.6570095769840638
118,"MLP W0.5, D1",0,train,750.0,6,1.9215308147705752,0.73840686046671
119,"MLP W0.5, D1",0,test,750.0,6,2.362161145351163,0.697880010798238
120,"MLP W1, D1",0,train,750.0,6,1.4218536303550837,0.8064318551322314
121,"MLP W1, D1",0,test,750.0,6,2.043047814789453,0.738694548863595
122,"MLP W2, D1",0,train,750.0,6,1.1753019124092947,0.8399968843573629
123,"MLP W2, D1",0,test,750.0,6,1.8679372443843136,0.7610911595876487
124,"MLP W4, D1",0,train,750.0,6,0.9480470498337276,0.8709348805208263
125,"MLP W4, D1",0,test,750.0,6,1.8925443386394811,0.7579439166210591
