,p,mse,r2
0,4,3.1956288975920133,0.6782490588136179
1,6,5.491396329022648,0.7213083410910358
2,8,5.0580260538028705,0.6755650336570955
3,10,15.069745813658926,0.7373216113577082
4,12,17.998609260547063,0.7452837479310366
5,14,21.935376659521907,0.8036123395013045
6,16,30.522211404974822,0.8584068371702815
