,method,iter,train_test,n,p,mse,r2
0,ConstantImputedLR,0,train,750.0,4,7.726275771245838,0.5312595510152669
1,ConstantImputedLR,0,test,750.0,4,6.827407553413286,0.5566172031922765
2,ExpandedLR,0,train,750.0,4,2.8410687998856696,0.8276370266498798
3,ExpandedLR,0,test,750.0,4,3.084585155693879,0.7996820927089087
4,EMLR,0,train,750.0,4,8.051008130062524,0.5115585726683524
5,EMLR,0,test,750.0,4,7.121934879449992,0.5374901262552672
6,MICELR,0,train,750.0,4,9.82789340393908,0.403757864315309
7,MICELR,0,test,750.0,4,7.9446566981588385,0.48406125180767434
8,"MLP W0.1, D1",0,train,750.0,4,7.849378825221977,0.5237910911129016
9,"MLP W0.1, D1",0,test,750.0,4,7.070245422550656,0.5408469224895922
10,"MLP W0.2, D1",0,train,750.0,4,5.393261023080175,0.6727997202923002
11,"MLP W0.2, D1",0,test,750.0,4,5.808855607639988,0.6227636001779284
12,"MLP W0.3, D1",0,train,750.0,4,5.954583873869437,0.6387451857539967
13,"MLP W0.3, D1",0,test,750.0,4,5.769455139255999,0.6253223297880999
14,"MLP W0.4, D1",0,train,750.0,4,4.29296818953424,0.739552677613657
15,"MLP W0.4, D1",0,test,750.0,4,4.769280482256974,0.6902752761659283
16,"MLP W0.5, D1",0,train,750.0,4,3.691009104687531,0.7760725456659446
17,"MLP W0.5, D1",0,test,750.0,4,4.5244009138090275,0.7061781480964662
18,ConstantImputedLR,0,train,3750.0,4,7.1066566209581445,0.5422665668104394
19,ConstantImputedLR,0,test,3750.0,4,7.028335251435023,0.5578255879852425
20,ExpandedLR,0,train,3750.0,4,2.7940298339018512,0.8200390230570161
21,ExpandedLR,0,test,3750.0,4,2.9406472863114685,0.8149947408239983
22,EMLR,0,train,3750.0,4,7.579678518089612,0.5117996470623689
23,EMLR,0,test,3750.0,4,7.39873022435176,0.5345228891947658
24,MICELR,0,train,3750.0,4,9.319012453278694,0.3997706950416271
25,MICELR,0,test,3750.0,4,8.876503111365313,0.4415516045263015
26,"MLP W0.1, D1",0,train,3750.0,4,7.171250671222954,0.5381061214747052
27,"MLP W0.1, D1",0,test,3750.0,4,7.094201801946707,0.5536817186047946
28,"MLP W0.2, D1",0,train,3750.0,4,4.220630057404795,0.7281529712999585
29,"MLP W0.2, D1",0,test,3750.0,4,4.372697575268803,0.7249000068873972
30,"MLP W0.3, D1",0,train,3750.0,4,3.398643166664456,0.7810964159608123
31,"MLP W0.3, D1",0,test,3750.0,4,3.666375279839909,0.7693369374692753
32,"MLP W0.4, D1",0,train,3750.0,4,3.5028736290613476,0.7743830245672891
33,"MLP W0.4, D1",0,test,3750.0,4,3.8158116176250987,0.7599354330688821
34,"MLP W0.5, D1",0,train,3750.0,4,2.9380408681364316,0.8107634004072636
35,"MLP W0.5, D1",0,test,3750.0,4,3.1167168118600377,0.8039176598157667
36,ConstantImputedLR,0,train,7500.0,4,7.2322906221898275,0.5556743870534655
37,ConstantImputedLR,0,test,7500.0,4,7.374652180594226,0.5341640433423177
38,ExpandedLR,0,train,7500.0,4,2.991547523468471,0.8162102082920242
39,ExpandedLR,0,test,7500.0,4,3.0367020997474516,0.8081801021826276
40,EMLR,0,train,7500.0,4,7.629416672649602,0.5312764079061414
41,EMLR,0,test,7500.0,4,7.719888904593535,0.5123564142285303
42,MICELR,0,train,7500.0,4,9.459694004510581,0.41883083017366896
43,MICELR,0,test,7500.0,4,9.344761087606006,0.40971782609120055
44,"MLP W0.1, D1",0,train,7500.0,4,7.271508407198053,0.5532649890808894
45,"MLP W0.1, D1",0,test,7500.0,4,7.41739882690651,0.5314638583856374
46,"MLP W0.2, D1",0,train,7500.0,4,4.49263400759934,0.7239889181103447
47,"MLP W0.2, D1",0,test,7500.0,4,4.6295241415505615,0.7075660309751355
48,"MLP W0.3, D1",0,train,7500.0,4,3.5515743773785817,0.7818041966797881
49,"MLP W0.3, D1",0,test,7500.0,4,3.6605824300027443,0.7687713431839127
50,"MLP W0.4, D1",0,train,7500.0,4,3.1649168203572295,0.8055590296917257
51,"MLP W0.4, D1",0,test,7500.0,4,3.202396196675294,0.7977136739003526
52,"MLP W0.5, D1",0,train,7500.0,4,3.1611795712570903,0.8057886326742245
53,"MLP W0.5, D1",0,test,7500.0,4,3.2510643526086747,0.7946394438996959
54,ConstantImputedLR,0,train,18750.0,4,7.389865994077207,0.5401460275775778
55,ConstantImputedLR,0,test,18750.0,4,7.140289605277069,0.5541649592928728
56,ExpandedLR,0,train,18750.0,4,3.0713717839405357,0.8088757608374515
57,ExpandedLR,0,test,18750.0,4,3.2097609856163474,0.7995846108784149
58,EMLR,0,train,18750.0,4,7.777411484817223,0.516029983585166
59,EMLR,0,test,18750.0,4,7.5471472818109975,0.5287610304878769
60,MICELR,0,train,18750.0,4,9.657288523546718,0.3990496588244318
61,MICELR,0,test,18750.0,4,9.285277953397086,0.420233281396554
62,"MLP W0.1, D1",0,train,18750.0,4,7.411236422922281,0.5388161960752672
63,"MLP W0.1, D1",0,test,18750.0,4,7.177738833706072,0.551826653817314
