,method,iter,train_test,n,p,mse,r2
47,"MLP W0.5, D1",0,test,7500.0,4,3.990258299945914,0.6131506977880129
48,"MLP W1, D1",0,train,7500.0,4,3.322796397338067,0.666922108428706
49,"MLP W1, D1",0,test,7500.0,4,3.768955337775172,0.634605673896792
50,"MLP W2, D1",0,train,7500.0,4,3.2471931494779507,0.67450059575744
51,"MLP W2, D1",0,test,7500.0,4,3.699237328085517,0.6413647259111483
52,"MLP W4, D1",0,train,7500.0,4,3.2175965539165423,0.6774673654503347
53,"MLP W4, D1",0,test,7500.0,4,3.689573580180369,0.642301611158379
54,ConstantImputedLR,0,train,18750.0,4,3.8695003998978055,0.6089300040889696
55,ConstantImputedLR,0,test,18750.0,4,3.856707695452868,0.6164331182244898
56,ExpandedLR,0,train,18750.0,4,3.2546140195237556,0.671073327362687
57,ExpandedLR,0,test,18750.0,4,3.189150166587613,0.6828247091802944
58,EMLR,0,train,18750.0,4,3.2607349988103964,0.6704547122710174
59,EMLR,0,test,18750.0,4,3.1865585537952437,0.6830824566986533
60,MICELR,0,train,18750.0,4,3.4079833087809384,0.6555731022369141
61,MICELR,0,test,18750.0,4,3.3348451658990035,0.6683346879007344
62,"MLP W0.3, D1",0,train,18750.0,4,3.867026248026214,0.6091800535688281
63,"MLP W0.3, D1",0,test,18750.0,4,3.8288803506419633,0.6192006725013656
64,"MLP W0.5, D1",0,train,18750.0,4,3.5318303882417728,0.6430565311416843
65,"MLP W0.5, D1",0,test,18750.0,4,3.4732805386945618,0.6545666690453703
66,"MLP W1, D1",0,train,18750.0,4,3.358964729870948,0.6605271514610467
67,"MLP W1, D1",0,test,18750.0,4,3.2892104331388725,0.672873266794359
68,"MLP W2, D1",0,train,18750.0,4,3.320444919477799,0.6644201455264667
69,"MLP W2, D1",0,test,18750.0,4,3.2597553295444524,0.6758027089844962
70,"MLP W4, D1",0,train,18750.0,4,3.27055261552233,0.6694624975325222
71,"MLP W4, D1",0,test,18750.0,4,3.2252142812173634,0.679237971194204
72,ConstantImputedLR,0,train,37500.0,4,3.8055217598580264,0.6129776237853115
73,ConstantImputedLR,0,test,37500.0,4,3.912353532628176,0.6135751087196473
74,ExpandedLR,0,train,37500.0,4,3.1860564051549938,0.6759773827378885
75,ExpandedLR,0,test,37500.0,4,3.278423415567478,0.6761886671625525
76,EMLR,0,train,37500.0,4,3.1886707328575308,0.6757115050518607
77,EMLR,0,test,37500.0,4,3.277144622808852,0.676314974089726
78,MICELR,0,train,37500.0,4,3.3513249250383494,0.6591695389479935
79,MICELR,0,test,37500.0,4,3.4431134842072297,0.659922156138351
80,"MLP W0.3, D1",0,train,37500.0,4,3.7953463192847776,0.614012468266095
81,"MLP W0.3, D1",0,test,37500.0,4,3.89120729556442,0.6156637319205421
82,"MLP W0.5, D1",0,train,37500.0,4,3.5011046542599704,0.6439369084783395
83,"MLP W0.5, D1",0,test,37500.0,4,3.5943305030286994,0.644986384212195
84,"MLP W1, D1",0,train,37500.0,4,3.287365867066974,0.6656741888116847
85,"MLP W1, D1",0,test,37500.0,4,3.368506719313138,0.6672910993518268
86,"MLP W2, D1",0,train,37500.0,4,3.217462445290548,0.6727833817446557
87,"MLP W2, D1",0,test,37500.0,4,3.3044962209534225,0.6736134446263956
88,"MLP W4, D1",0,train,37500.0,4,3.19095557849002,0.6754791357627667
89,"MLP W4, D1",0,test,37500.0,4,3.2954428941876532,0.6745076457209571
90,ConstantImputedLR,0,train,75000.0,4,3.832775546561524,0.6127113270044549
91,ConstantImputedLR,0,test,75000.0,4,3.814017096256149,0.616242394178133
92,ExpandedLR,0,train,75000.0,4,3.214107642712343,0.675225572515554
93,ExpandedLR,0,test,75000.0,4,3.173585955580558,0.680681098839599
94,EMLR,0,train,75000.0,4,3.2146545940606384,0.6751703049791953
95,EMLR,0,test,75000.0,4,3.1726538137107174,0.6807748888051992
96,MICELR,0,train,75000.0,4,3.3640283253029737,0.6600766076179876
97,MICELR,0,test,75000.0,4,3.3316910983690433,0.6647729239328344
98,"MLP W0.3, D1",0,train,75000.0,4,3.8211525869491294,0.6138857867529792
99,"MLP W0.3, D1",0,test,75000.0,4,3.7952365481002226,0.6181320496291836
100,"MLP W0.5, D1",0,train,75000.0,4,3.4679834448226896,0.649572303413166
101,"MLP W0.5, D1",0,test,75000.0,4,3.4366498148448037,0.6542122198960297
102,"MLP W1, D1",0,train,75000.0,4,3.338638978551386,0.6626421130310212
103,"MLP W1, D1",0,test,75000.0,4,3.302827181455277,0.6676771446979539
104,"MLP W2, D1",0,train,75000.0,4,3.2360945977235716,0.6730038669849104
105,"MLP W2, D1",0,test,75000.0,4,3.200895528334466,0.6779332725998202
106,"MLP W4, D1",0,train,75000.0,4,3.224780097678727,0.6741471579641871
107,"MLP W4, D1",0,test,75000.0,4,3.1904864980301704,0.6789806052277794
108,ConstantImputedLR,0,train,750.0,6,7.385886467798176,0.6234738633510224
109,ConstantImputedLR,0,test,750.0,6,7.710552493724508,0.6417456673146793
110,ExpandedLR,0,train,750.0,6,4.297925419634009,0.7808954604276962
111,ExpandedLR,0,test,750.0,6,8.843985229344119,0.5890831390881242
112,EMLR,0,train,750.0,6,5.814842659341982,0.7035643248390735
113,EMLR,0,test,750.0,6,5.940872867575097,0.7239700467024033
114,MICELR,0,train,750.0,6,6.385002736335385,0.6744980547308344
115,MICELR,0,test,750.0,6,6.694247957637905,0.6889660842273586
116,"MLP W0.3, D1",0,train,750.0,6,9.123177814526784,0.5349082454161413
117,"MLP W0.3, D1",0,test,750.0,6,9.589590463254106,0.5544401863634645
118,"MLP W0.5, D1",0,train,750.0,6,6.812747577452855,0.6526919908007041
119,"MLP W0.5, D1",0,test,750.0,6,7.41364589201298,0.6555407976315536
120,"MLP W1, D1",0,train,750.0,6,5.912215487831199,0.698600341831011
121,"MLP W1, D1",0,test,750.0,6,7.223169492213159,0.6643908762164703
122,"MLP W2, D1",0,train,750.0,6,5.114279466136694,0.7392784336012536
123,"MLP W2, D1",0,test,750.0,6,7.006035234849025,0.6744795551455641
124,"MLP W4, D1",0,train,750.0,6,4.635282519757211,0.7636972857557317
125,"MLP W4, D1",0,test,750.0,6,6.973531481673863,0.6759897725279129
126,ConstantImputedLR,0,train,3750.0,6,7.575994708534521,0.616363386084413
127,ConstantImputedLR,0,test,3750.0,6,7.2097370994163645,0.614769591566126
128,ExpandedLR,0,train,3750.0,6,5.493501323647806,0.7218176190156408
129,ExpandedLR,0,test,3750.0,6,5.707351286717421,0.6950450152425487
130,EMLR,0,train,3750.0,6,5.7630546253535995,0.7081678581704169
131,EMLR,0,test,3750.0,6,5.428472929677417,0.7099460333940407
132,MICELR,0,train,3750.0,6,6.177450009185442,0.6871835190846984
133,MICELR,0,test,3750.0,6,5.8436619595557255,0.6877616683677165
134,"MLP W0.3, D1",0,train,3750.0,6,7.640184933360025,0.6131128927240104
135,"MLP W0.3, D1",0,test,3750.0,6,7.1244197936956075,0.6193282627182191
136,"MLP W0.5, D1",0,train,3750.0,6,6.720250713721931,0.6596969338466189
137,"MLP W0.5, D1",0,test,3750.0,6,6.389358238060162,0.6586040448163492
138,"MLP W1, D1",0,train,3750.0,6,6.09147513932119,0.6915371530595742
139,"MLP W1, D1",0,test,3750.0,6,6.021518600054691,0.6782584388716453
140,"MLP W2, D1",0,train,3750.0,6,5.725392378315308,0.7100750159077298
141,"MLP W2, D1",0,test,3750.0,6,5.8765527784405736,0.6860042473386251
142,"MLP W4, D1",0,train,3750.0,6,5.4571533635904155,0.7236582233000455
143,"MLP W4, D1",0,test,3750.0,6,5.895674394905184,0.6849825418285623
144,ConstantImputedLR,0,train,7500.0,6,7.348118214858238,0.627427202353098
145,ConstantImputedLR,0,test,7500.0,6,7.385728970973713,0.60081754725436
146,ExpandedLR,0,train,7500.0,6,5.338614744691702,0.7293153739733129
147,ExpandedLR,0,test,7500.0,6,5.68658095824948,0.6926527708271144
